№корня;Корень;наименование;наименование;наименование;наименование
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Сок  томат
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Сок прочие овощи
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Сок  овощные смеси
1;Продукты питания;Напитки;Соки, нектары, морсы;Смутис, пюре фруктовое длит.хранения;Фруктовые смеси, пюре фруктовое разное
1;Продукты питания;Напитки;Соки, нектары, морсы;Напитки сокосодержащие;Напитки сокосодержащие до 1л
1;Продукты питания;Напитки;Соки, нектары, морсы;Напитки сокосодержащие;Напитки сокосодержащие от 1л
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво светлое;Пиво светлое стекло, пластик 1 л и меньше
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво светлое;Пиво светлое ж/б
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво светлое;Пиво светлое свыше 1 л
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво темное;Пиво темное стекло
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво темное;Пиво темное ж/б
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво специальное, крепкое, другое;Пиво специальное, крепкое, другое стекло
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво специальное, крепкое, другое;Пиво специальное, крепкое, другое ж/б
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво специальное, крепкое, другое;Пиво специальное, крепкое, другое свыше 1 л
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво импортное;Пиво импортное стекло
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво импортное;Пиво импортное ж/б
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво импортное;Пиво импортное свыше 1 л
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво разливное;Пиво разное разливное
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво разливное;Пиво разливное светлое
1;Продукты питания;Пиво и напитки слабоалкогольные;Пиво;Пиво разливное;Пиво разливное темное
1;Продукты питания;Пиво и напитки слабоалкогольные;Напитки слабоалкогольные;Напитки слабоалкогольные о,5л. и меньше;Сидр
1;Продукты питания;Пиво и напитки слабоалкогольные;Напитки слабоалкогольные;Напитки слабоалкогольные о,5л. и меньше;Коктейли слабоалкогольные
1;Продукты питания;Пиво и напитки слабоалкогольные;Напитки слабоалкогольные;Напитки слабоалкогольные о,5л. и меньше;Медовуха, хреновуха
1;Продукты питания;Вино и шампанское;Вина;Безалкогольные вина;Красные
1;Продукты питания;Вино и шампанское;Вина;Безалкогольные вина;Белые
1;Продукты питания;Вино и шампанское;Вина;Вино франции;Красные
1;Продукты питания;Вино и шампанское;Вина;Вино франции;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вино франции;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина италии;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина италии;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина италии;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина испании;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина испании;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина испании;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина германии;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина германии;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина германии;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина португалии;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина португалии;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина португалии;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина европы прочие;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина европы прочие;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина европы прочие;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина россии   ;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина россии;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина россии;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина снг;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина снг;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина снг;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина африки;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина африки;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина африки;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина нового света;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина нового света;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина кошерные;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина кошерные;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина кошерные;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина плодово/ягодные;Красные
1;Продукты питания;Вино и шампанское;Вина;Вина плодово/ягодные;Розовые
1;Продукты питания;Вино и шампанское;Вина;Вина плодово/ягодные;Белые
1;Продукты питания;Вино и шампанское;Вина;Вина тетра пак;Импортные красные
1;Продукты питания;Вино и шампанское;Вина;Вина тетра пак;Импортные розовые
1;Продукты питания;Вино и шампанское;Вина;Вина тетра пак;Импортные белые
1;Продукты питания;Вино и шампанское;Вина;Вина тетра пак;Российские красные
1;Продукты питания;Вино и шампанское;Вина;Вина тетра пак;Российские розовые
1;Продукты питания;Вино и шампанское;Вина;Вина тетра пак;Российские белые
1;Продукты питания;Вино и шампанское;Вина;Вина  биб;Импортные красные
1;Продукты питания;Вино и шампанское;Вина;Вина  биб;Импортные розовые
1;Продукты питания;Вино и шампанское;Вина;Вина  биб;Импортные белые
1;Продукты питания;Вино и шампанское;Вина;Вина  биб;Российские красные
1;Продукты питания;Вино и шампанское;Вина;Вина  биб;Российские розовые
1;Продукты питания;Вино и шампанское;Вина;Вина  биб;Российские белые
1;Продукты питания;Вино и шампанское;Крепленные вина/винные напитки;Крепленые (ликерные) вина;Портвейн
1;Продукты питания;Вино и шампанское;Крепленные вина/винные напитки;Крепленые (ликерные) вина;Херес
1;Продукты питания;Вино и шампанское;Крепленные вина/винные напитки;Крепленые (ликерные) вина;Прочие крепленые вина
1;Продукты питания;Вино и шампанское;Крепленные вина/винные напитки;Винные напитки;Красные
1;Продукты питания;Вино и шампанское;Крепленные вина/винные напитки;Винные напитки;Розовые
1;Продукты питания;Вино и шампанское;Крепленные вина/винные напитки;Винные напитки;Белые
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Шампанские;Бпют
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Шампанские;Сухое
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Шампанские;П/сухое
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Шампанские;П/сладкое
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Шампанские;Сладкое
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Игристые вина;Вина асти
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Игристые вина;Игристые вина красные
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Игристые вина;Игристые вина розовые
1;Продукты питания;Вино и шампанское;Шампанские/игристые вина;Игристые вина;Игристые вина белые
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Виски ;Виски односолодовые
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Виски ;Виски купажированные
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Виски ;Виски зерновой
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Виски ;Бурбон
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Виски ;Прочие виски
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Имп.  коньяк, бренди, арманьяк ;Vs
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Имп.  коньяк, бренди, арманьяк ;Vsop
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Имп.  коньяк, бренди, арманьяк ;Xo
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Имп.  коньяк, бренди, арманьяк ;С собственным названием
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Коньяк, бренди рф, снг;Vs или 3 звезды
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Коньяк, бренди рф, снг;Vsop или 4-5 звезд
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Коньяк, бренди рф, снг;Xo или 6-10 звезд
1;Продукты питания;Алкоголь крепкий;Виски, коньяк, бренди;Коньяк, бренди рф, снг;С собственным названием
1;Продукты питания;Алкоголь крепкий;Дистилляты;Дистилляты нового света;Мескаль
1;Продукты питания;Алкоголь крепкий;Дистилляты;Дистилляты нового света;Текила
1;Продукты питания;Алкоголь крепкий;Дистилляты;Дистилляты нового света;Ром
1;Продукты питания;Алкоголь крепкий;Дистилляты;Дистилляты европы и азии;Граппа
1;Продукты питания;Алкоголь крепкий;Дистилляты;Дистилляты европы и азии;Саке
1;Продукты питания;Алкоголь крепкий;Дистилляты;Дистилляты европы и азии;Кальвадос
1;Продукты питания;Алкоголь крепкий;Водка;Водка обычная;0,25 л.
1;Продукты питания;Алкоголь крепкий;Водка;Водка обычная;0,5 л.
1;Продукты питания;Алкоголь крепкий;Водка;Водка обычная;Более 0,5 л. до 0.75 л.
1;Продукты питания;Алкоголь крепкий;Водка;Водка обычная;1 л. и более
1;Продукты питания;Алкоголь крепкий;Водка;Водка обычная;Водка в подарочной упаковке
1;Продукты питания;Алкоголь крепкий;Водка;Водка ароматизированная;0,25 л.
1;Продукты питания;Алкоголь крепкий;Водка;Водка ароматизированная;0,5 л.
1;Продукты питания;Алкоголь крепкий;Водка;Водка ароматизированная;Более 0,5 л. до 0.75 л.
1;Продукты питания;Алкоголь крепкий;Водка;Водка ароматизированная;1 л. и более
1;Продукты питания;Алкоголь крепкий;Аперитивы;Настойки;Горькие настойки
1;Продукты питания;Алкоголь крепкий;Аперитивы;Настойки;Сладкие настойки, наливки
1;Продукты питания;Алкоголь крепкий;Аперитивы;Настойки;Абсент
1;Продукты питания;Алкоголь крепкий;Аперитивы;Настойки;Самбука
1;Продукты питания;Алкоголь крепкий;Аперитивы;Настойки;Джин
1;Продукты питания;Алкоголь крепкий;Аперитивы;Настойки;Анисовые
1;Продукты питания;Алкоголь крепкий;Аперитивы;Ликеры;Крем ликеры
1;Продукты питания;Алкоголь крепкий;Аперитивы;Ликеры;Ягодные ликеры 
1;Продукты питания;Алкоголь крепкий;Аперитивы;Ликеры;Прочие
1;Продукты питания;Алкоголь крепкий;Аперитивы;Вермуты;Импортный белый/драй
1;Продукты питания;Алкоголь крепкий;Аперитивы;Вермуты;Импортный красный
1;Продукты питания;Алкоголь крепкий;Аперитивы;Вермуты;Отечественный белый/драй
1;Продукты питания;Алкоголь крепкий;Аперитивы;Вермуты;Отечественный красный
1;Продукты питания;Алкоголь крепкий;Аперитивы;Бальзамы, биттеры;Бальзамы
1;Продукты питания;Алкоголь крепкий;Аперитивы;Бальзамы, биттеры;Биттеры
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Готовые блюда консервированные;Супы консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Готовые блюда консервированные;Каши консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Готовые блюда консервированные;Готовые блюда консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Готовые блюда консервированные;Мясопродукты консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Шпроты
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Сайра консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Скумбрия консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Тунец консервированный
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Сельдь консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Горбуша консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Сардины консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Печень трески консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Килька консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Морепродукты консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Рыбные консервы;Прочие рыбные консервы
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Мясные консервы;Свинина консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Мясные консервы;Говядина консервированная
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Мясные консервы;Прочие мясные консервы
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Паштеты консервированные;Паштеты мясные, печеночные, консервированные
1;Продукты питания;Консервация;Первые и вторые блюда консервированные;Паштеты консервированные;Паштеты рыбные, консервированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Грибные консервы;Шампиньоны консервированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Грибные консервы;Лесные и прочие грибы консервированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Бобовые консервированные;Горошек консервированный
1;Продукты питания;Консервация;Овощная и грибная консервация;Бобовые консервированные;Кукуруза коонсервированная
1;Продукты питания;Консервация;Овощная и грибная консервация;Бобовые консервированные;Фасоль белая консервированная
1;Продукты питания;Консервация;Овощная и грибная консервация;Бобовые консервированные;Фасоль красная консервированная
1;Продукты питания;Консервация;Овощная и грибная консервация;Бобовые консервированные;Фасоль консервированная в специальных соусах
1;Продукты питания;Консервация;Овощная и грибная консервация;Бобовые консервированные;Смеси овощные и прочие бобовые консервированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Маслины, оливки консервированные;Оливки с косточками
1;Продукты питания;Консервация;Овощная и грибная консервация;Маслины, оливки консервированные;Оливки без косточек
1;Продукты питания;Консервация;Овощная и грибная консервация;Маслины, оливки консервированные;Оливки фаршированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Маслины, оливки консервированные;Маслины с косточками
1;Продукты питания;Консервация;Овощная и грибная консервация;Маслины, оливки консервированные;Маслины без косточек
1;Продукты питания;Консервация;Овощная и грибная консервация;Огурцы, корнишоны консервированные;Огруцы консервированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Огурцы, корнишоны консервированные;Корнишоны консервированные
1;Продукты питания;Консервация;Овощная и грибная консервация;Томатная паста, томаты консервированные;Томатная паста
1;Продукты питания;Консервация;Овощная и грибная консервация;Томатная паста, томаты консервированные;Томаты соленые и маринованные
1;Продукты питания;Консервация;Овощная и грибная консервация;Томатная паста, томаты консервированные;Томаты в собственном соку
1;Продукты питания;Консервация;Овощная и грибная консервация;Овощи консервированные разные;Перец консервированный
1;Продукты питания;Консервация;Овощная и грибная консервация;Овощи консервированные разные;Лечо консервированный
1;Продукты питания;Консервация;Овощная и грибная консервация;Овощи консервированные разные;Ассорти овощное консервированное
1;Продукты питания;Консервация;Овощная и грибная консервация;Овощи консервированные разные;Овощи прочие маринованные (спаржа, лук, свекла и т.д.)
1;Продукты питания;Консервация;Овощная и грибная консервация;Икра овощная, закуски овощные, грибные;Икра баклажановая
1;Продукты питания;Консервация;Овощная и грибная консервация;Икра овощная, закуски овощные, грибные;Икра кабачковая
1;Продукты питания;Консервация;Овощная и грибная консервация;Икра овощная, закуски овощные, грибные;Овощные, грибные салаты и закуски
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Варенье
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Джемы, конфитюры, желе, марм-д
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Повидло
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Ягоды протертые с сахаром
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Муссы, пюре
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Сиропы
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные кондит изд;Десертные соусы
1;Продукты питания;Консервация;Сладкая консервация;Мед;Мед (стекло, пластик)
1;Продукты питания;Консервация;Сладкая консервация;Мед;Мед в подар/уп
1;Продукты питания;Консервация;Сладкая консервация;Сладкие пасты и кремы;Сладкая паста шок/крем без добавок
1;Продукты питания;Консервация;Сладкая консервация;Сладкие пасты и кремы;Сладкая паста шок/крем с добавками
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные десерты;Фрукты в собственном соку
1;Продукты питания;Консервация;Сладкая консервация;Фруктово-ягодные десерты;Фрукты в сиропе
