№корня;Корень;наименование;наименование;наименование;наименование
1;Продукты питания;Напитки;Вода;Вода минеральная;Вода лечебно-столовая до 1л
1;Продукты питания;Напитки;Вода;Вода минеральная;Вода лечебно-столовая от 1л
1;Продукты питания;Напитки;Вода;Вода питьевая;Вода питьевая и минеральная без газа до 1 л
1;Продукты питания;Напитки;Вода;Вода питьевая;Вода питьевая минеральная без газа от 1 л до 5 л
1;Продукты питания;Напитки;Вода;Вода питьевая;Вода питьевая без газа от 5 л
1;Продукты питания;Напитки;Вода;Вода питьевая;Вода питьевая/минеральная с газом до 1 л
1;Продукты питания;Напитки;Вода;Вода питьевая;Вода питьевая/минеральная с газом от 1 л
1;Продукты питания;Напитки;Вода;Вода ароматизированная;Вода ароматизированная с газом до 1 л
1;Продукты питания;Напитки;Вода;Вода ароматизированная;Вода ароматизированная с газом от 1 л
1;Продукты питания;Напитки;Вода;Вода ароматизированная;Вода ароматизированная без газа до 1 л
1;Продукты питания;Напитки;Вода;Вода ароматизированная;Вода ароматизированная без газа от 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады кола-содержащие;Лимонад кола-содержащий до 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады кола-содержащие;Лимонад кола-содержащий от 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады кола-содержащие;Лимонад кола-содержащий лайт до 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады кола-содержащие;Лимонад кола-содержащий лайт от 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады кола-содержащие;Лимонад кола-содержащий микс до 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады кола-содержащие;Лимонад кола-содержащий микс от 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады фрукт/ягодн;Лимонады фрукт/ягодн до 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады фрукт/ягодн;Лимонады фрукт/ягодн  от 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады на основе растений;Лимонады на основе растений до 1 л
1;Продукты питания;Напитки;Лимонады;Лимонады на основе растений;Лимонады на основе растений от 1 л
1;Продукты питания;Напитки;Лимонады;Тоники, биттеры, содовые;Тоники, биттеры, содовые до 1 л
1;Продукты питания;Напитки;Лимонады;Тоники, биттеры, содовые;Тоники, биттеры, содовые от 1 л
1;Продукты питания;Напитки;Солодосодержащие напитки;Квас;Квас до 1 л
1;Продукты питания;Напитки;Солодосодержащие напитки;Квас;Квас от 1 л
1;Продукты питания;Напитки;Солодосодержащие напитки;Квас;Квас разливной
1;Продукты питания;Напитки;Напитки безалкогольные ;Холодный чай, кофе;Холодный чай, кофе до 1 л
1;Продукты питания;Напитки;Напитки безалкогольные ;Холодный чай, кофе;Холодный чай от 1л
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки энергетические и спортивные;Напитки энергетические
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки энергетические и спортивные;Напитки изотенические
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки безалкогольные специальные;Пиво безалкогольное стекло
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки безалкогольные специальные;Пиво безалкогольное ж/б
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки безалкогольные специальные;Вино безалкогольное
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки безалкогольные сокосодержащие;Напитки безалкогольные сокосодержащие до 1 л
1;Продукты питания;Напитки;Напитки безалкогольные ;Напитки безалкогольные сокосодержащие;Напитки безалкогольные сокосодержащие от 1 л
1;Продукты питания;Напитки;Соки, нектары, морсы;Морсы, компоты;Морс до 1 л
1;Продукты питания;Напитки;Соки, нектары, морсы;Морсы, компоты;Морс от 1 л
1;Продукты питания;Напитки;Соки, нектары, морсы;Морсы, компоты;Компоты до 1л
1;Продукты питания;Напитки;Соки, нектары, морсы;Морсы, компоты;Компоты от 1л
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары апельсин
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары яблоко
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары персик/абрикос/нектарин
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары грейпфрут
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары ананас
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары виноград
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары вишня
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары гранат
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары экзотические фрукты
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары мультифрукт/тропич. смесь
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Соки, нектары фруктово-ягодная смесь
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Сок  томат
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Сок прочие овощи
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары в индивидуал. упак. (до 0,6л);Сок  овощные смеси
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары апельсин
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары яблоко
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары персик/абрикос/нектарин
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары грейпфрут
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары ананас
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары виноград
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары вишня
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары гранат
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары экзотические фрукты
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары мультифрукт/тропич. смесь
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Соки, нектары фруктово-ягодная смесь
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Сок  томат
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Сок прочие овощи
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары до 1 л;Сок  овощные смеси
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары апельсин
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары яблоко
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары персик/абрикос/нектарин
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары грейпфрут
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары ананас
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары виноград
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары вишня
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары гранат
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары экзотические фрукты
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары мультифрукт/тропич. смесь
1;Продукты питания;Напитки;Соки, нектары, морсы;Соки, нектары  от 1 л;Соки, нектары фруктово-ягодная смесь
