№корня;Корень;наименование;наименование;наименование;наименование
3;Красота и здоровье;Косметика;Средства для волос;Средства для мытья головы;Шампуни  для сухих, ослабленных и  поврежденных волос  
3;Красота и здоровье;Косметика;Средства для волос;Средства для мытья головы;Шампуни для окрашенных волос 
3;Красота и здоровье;Косметика;Средства для волос;Средства для мытья головы;Шампуни 2 в 1  
3;Красота и здоровье;Косметика;Средства для волос;Средства для мытья головы;Шампуни для мужчин
3;Красота и здоровье;Косметика;Средства для волос;Средства для мытья головы;Шампуни от перхоти
3;Красота и здоровье;Косметика;Средства для волос;Специальные средства  для ухода за волосами;Кондиционеры и бальзамы для волос 
3;Красота и здоровье;Косметика;Средства для волос;Специальные средства  для ухода за волосами;Маски, спреи, крема, эмульсии, сыворотки, тоники для волос
3;Красота и здоровье;Косметика;Средства для волос;Средства для укладки волос и сохранения прически;Гели, кремы, воск для моделирования и фиксации волос 
3;Красота и здоровье;Косметика;Средства для волос;Средства для укладки волос и сохранения прически;Пенки, муссы, спреи и жидкости для моделирования и фиксации волос 
3;Красота и здоровье;Косметика;Средства для волос;Средства для укладки волос и сохранения прически;Лаки для фиксации волос
3;Красота и здоровье;Косметика;Средства для волос;Средства для окраски  волос;Оттеночные средства  для волос
3;Красота и здоровье;Косметика;Средства для волос;Средства для окраски  волос;Краски д/волос
3;Красота и здоровье;Косметика;Средства для волос;Средства для окраски  волос;Средства для обесцвечивания и мелирования волос
3;Красота и здоровье;Косметика;Средства для волос;Средства для химической завивки волос;Лосьоны, жидкости, наборы для химической завивки волос
3;Красота и здоровье;Косметика;Средства по уходу за телом;Крема, лосьоны по уходу за телом;Средства для рук
3;Красота и здоровье;Косметика;Средства по уходу за телом;Крема, лосьоны по уходу за телом;Средства для ног
3;Красота и здоровье;Косметика;Средства по уходу за телом;Крема, лосьоны по уходу за телом;Крема и лосьоны для тела
3;Красота и здоровье;Косметика;Средства по уходу за телом;Мыло туалетное;Мыло туалетное кусковое
3;Красота и здоровье;Косметика;Средства по уходу за телом;Мыло туалетное;Мыло туалетное жидкое
3;Красота и здоровье;Косметика;Средства по уходу за телом;Средства для душа, ванны;Гели для душа женские, общие
3;Красота и здоровье;Косметика;Средства по уходу за телом;Средства для душа, ванны;Гели для душа мужские
3;Красота и здоровье;Косметика;Средства по уходу за телом;Средства для душа, ванны;Пена для ванн
3;Красота и здоровье;Косметика;Средства по уходу за телом;Средства для душа, ванны;Соль для ванн
3;Красота и здоровье;Косметика;Средства по уходу за телом;Средства для душа, ванны;Ароматические средства для ванн
3;Красота и здоровье;Косметика;Средства по уходу за телом;Солнцезащитные средства;Автозагар
3;Красота и здоровье;Косметика;Средства по уходу за телом;Солнцезащитные средства;Средства для загара
3;Красота и здоровье;Косметика;Средства по уходу за телом;Солнцезащитные средства;Средства после загара
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства жидкие для маникюра и педикюра;Лаки для ногтей
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства жидкие для маникюра и педикюра;Средства для закрепления лака
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства жидкие для маникюра и педикюра;Средства для снятия лака
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства жидкие для маникюра и педикюра;Средства для ухода за ногтями
