№ корня;Корень;Наименование;Наименование;Наименование
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ПАЛЛЕТЫ;БОЛЬШИЕ ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ BOX PALLET (BIG BOX)
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ПАЛЛЕТЫ;Неразборные контейнеры
20;Тара и Упаковка;Тара;ЁМКОСТИ ДЛЯ ОТХОДОВ;Мусорные контейнеры
20;Тара и Упаковка;Тара;ЁМКОСТИ ДЛЯ ОТХОДОВ;Мусорные баки без колес
20;Тара и Упаковка;Тара;ЁМКОСТИ ДЛЯ ОТХОДОВ;Контейнеры для мусора на 2х колесах
20;Тара и Упаковка;Тара;ЁМКОСТИ ДЛЯ ОТХОДОВ;Контейнеры для мусора на 3х колесах
20;Тара и Упаковка;Тара;ЁМКОСТИ ДЛЯ ОТХОДОВ;Контейнеры для мусора на 4х колесах
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЕМКОСТИ ДЛЯ ВОДЫ;Емкости кубические на поддоне Еврокубы
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЕМКОСТИ ДЛЯ ВОДЫ;Цилиндрические емкости для воды
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЕМКОСТИ ДЛЯ ВОДЫ;Вертикальные емкости для воды
20;Тара и Упаковка;Тара;БОЧКИ;Пластиковые бочки
20;Тара и Упаковка;Тара;БОЧКИ;Металлические бочки
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Сетки овощные
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки полипропиленовые
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки пп на 5кг
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки пп на 10кг
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки пп на 25кг
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки пп на 30кг
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки ПП на 50кг с длиной 95-96см
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки ПП на 50кг с длиной 105см
20;Тара и Упаковка;Тара;МЕШКИ, СЕТКИ ОВОЩНЫЕ;Мешки ПП на 60-100кг
20;Тара и Упаковка;Тара;ТЕРМОУПАКОВОЧНОЕ ОБОРУДОВАНИЕ;Стандартные - для групповой и штучной упаковки продукции в термоусадочную пленку ПЭ
20;Тара и Упаковка;Тара;ТЕРМОУПАКОВОЧНОЕ ОБОРУДОВАНИЕ;для групповой и штучной упаковки продукции «средних габаритов» в термоусадочную пленку ПЭ
20;Тара и Упаковка;Тара;ТЕРМОУПАКОВОЧНОЕ ОБОРУДОВАНИЕ;"для групповой и штучной упаковки продукции ""крупных габаритов"" в термоусадочную пленку ПЭ"
20;Тара и Упаковка;Тара;ТЕРМОУПАКОВОЧНОЕ ОБОРУДОВАНИЕ;для групповой и штучной упаковки длинномерной продукции в термоусадочную пленку ПЭ
20;Тара и Упаковка;Тара;ТЕРМОУПАКОВОЧНОЕ ОБОРУДОВАНИЕ;для групповой и штучной упаковки продукции в термоусадочную пленку ПОФ и ПВХ
20;Тара и Упаковка;Тара;ТЕРМОУПАКОВОЧНОЕ ОБОРУДОВАНИЕ;для усадки (фиксации) термоусадочной рукавной этикетки(слив-этикетки, sleeve)
